zeta,delta
5,0
4.95,0.05
4.9,0.1
4.8,0.2
4.7,0.25
4.6,0.3
4.5,0.4
4.4,0.45
4.3,0.5
4.2,0.55
4,0.5
3.95,0.45
3.8,0.4
3.7,0.35
3.6,0.3
3.4,0.25
3.3,0.2
3.1,0.15
3,0.1
2.7,0
