zeta,delta
5.5,0
5.4,0.15
5.2,0.2
5.1,0.3
5,0.4
4.85,0.5
4.8,0.6
4.6,0.7
4.4,0.75
4.2,0.8
4.1,0.9
4,1
3.9,0.9
3.8,0.8
3.7,0.7
3.6,0.5
3.4,0.4
3.3,0.2
3.25,0.1
2.8,0
