zeta,delta
4.9,0
4.8,0.05
4.75,0.1
4.7,0.15
4.5,0.3
4.45,0.4
4.3,0.55
4.2,0.6
4.15,0.65
4,0.7
3.9,0.6
3.8,0.55
3.75,0.5
3.6,0.4
3.55,0.35
3.45,0.3
3.4,0.25
3.3,0.2
3.2,0.1
3,0
